model,qid,question,ground_truth,method,answer,input_tokens,output_tokens,total_tokens,llm_calls,docs_retrieved,routed_to,f1,exact_match,cost_usd,efficiency,lambda_cost
gpt4o_mini,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_full,Benedict Arnold's accomplice.,48,8,56,1,0,think,0.0,0,1.2e-05,0.0,1.0
gpt54_mini,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_base,John André,406,5,411,1,3,retrieve,1.0,1,6.4e-05,0.16608,
gpt54_mini,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_noise,John André,784,5,789,1,5,retrieve,1.0,1,0.000121,0.14988,
gpt54_mini,5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,cart_full,John André,47,5,52,1,0,think,1.0,1,1e-05,0.25187,1.0
gpt4o_mini,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_base,Salma Hayek,80,4,84,1,1,retrieve,0.8,0,1.4e-05,0.18007,
gpt4o_mini,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_noise,"Penélope Cruz, Salma Hayek",184,9,193,1,3,retrieve,0.5714,0,3.3e-05,0.10847,
gpt4o_mini,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_full,Salma Hayek.,43,5,48,1,0,think,0.8,0,9e-06,0.20556,1.0
gpt54_mini,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_base,Salma Hayek,79,7,86,1,1,retrieve,0.8,0,1.6e-05,0.17913,
gpt54_mini,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_noise,Penélope Cruz and Salma Hayek,183,12,195,1,3,retrieve,0.5,0,3.5e-05,0.09473,
gpt54_mini,5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,Salma Hayek Pinault,cart_full,Salma Hayek,42,7,49,1,0,think,0.8,0,1e-05,0.2045,1.0
gpt4o_mini,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_base,Gatwick Airport,366,4,370,1,3,retrieve,1.0,1,5.7e-05,0.16903,
gpt4o_mini,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_noise,Gatwick Airport,813,4,817,1,5,retrieve,1.0,1,0.000124,0.1491,
gpt4o_mini,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_full,Gatwick Airport,51,4,55,1,0,think,1.0,1,1e-05,0.24843,1.0
gpt54_mini,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_base,Gatwick Airport,365,7,372,1,3,retrieve,1.0,1,5.9e-05,0.16887,
gpt54_mini,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_noise,Gatwick Airport,812,7,819,1,5,retrieve,1.0,1,0.000126,0.14905,
gpt54_mini,5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,cart_full,London Gatwick Airport,50,7,57,1,0,think,0.8,0,1.2e-05,0.19702,1.0
gpt4o_mini,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_base,"""The Changing Scottish Landscape""",592,5,597,1,5,retrieve,1.0,1,9.2e-05,0.15641,
gpt4o_mini,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_noise,"""The Changing Scottish Landscape""",592,5,597,1,5,retrieve,1.0,1,9.2e-05,0.15641,
gpt4o_mini,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_full,Simon Jenkins.,48,3,51,1,0,think,0.0,0,9e-06,0.0,1.0
gpt54_mini,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_base,The Changing Scottish Landscape,591,7,598,1,5,retrieve,1.0,1,9.3e-05,0.15637,
gpt54_mini,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_noise,The Changing Scottish Landscape,591,7,598,1,5,retrieve,1.0,1,9.3e-05,0.15637,
gpt54_mini,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_full,Sir Walter Scott,47,6,53,1,0,think,0.0,0,1.1e-05,0.0,1.0
gpt4o_mini,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_base,US Naval Submarine Base,210,5,215,1,2,retrieve,0.25,0,3.5e-05,0.04651,
gpt4o_mini,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_noise,US Naval Submarine Base New London,393,7,400,1,4,retrieve,0.2,0,6.3e-05,0.03337,
gpt4o_mini,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_full,Naval Training Center.,42,5,47,1,0,think,0.0,0,9e-06,0.0,1.0
gpt54_mini,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_base,submarine escape training tank,209,8,217,1,2,retrieve,0.25,0,3.6e-05,0.04643,
gpt54_mini,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_noise,Home of the Submarine Force,392,9,401,1,4,retrieve,1.0,1,6.4e-05,0.16677,
gpt54_mini,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_full,Naval Training Center,41,7,48,1,0,think,0.0,0,1e-05,0.0,1.0
gpt4o_mini,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_base,U2,169,2,171,1,1,retrieve,1.0,1,2.7e-05,0.19427,
gpt4o_mini,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_noise,U2,411,2,413,1,3,retrieve,1.0,1,6.3e-05,0.16595,
gpt4o_mini,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_full,U2,46,2,48,1,0,think,1.0,1,8e-06,0.25695,1.0
gpt54_mini,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_base,U2,168,5,173,1,1,retrieve,1.0,1,2.8e-05,0.19383,
gpt54_mini,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_noise,U2,410,5,415,1,3,retrieve,1.0,1,6.4e-05,0.16582,
gpt54_mini,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_full,U2,45,5,50,1,0,think,1.0,1,1e-05,0.25433,1.0
gpt4o_mini,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_base,Laurie Metcalf,115,5,120,1,1,retrieve,1.0,1,2e-05,0.20852,
gpt4o_mini,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_noise,Laurie Metcalf,523,5,528,1,3,retrieve,1.0,1,8.1e-05,0.15946,
gpt4o_mini,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_full,Laurie Metcalf.,39,6,45,1,0,think,1.0,1,9e-06,0.26119,1.0
gpt54_mini,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_base,Laurie Metcalf,114,8,122,1,1,retrieve,1.0,1,2.2e-05,0.20781,
gpt54_mini,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_noise,Laurie Metcalf,522,8,530,1,3,retrieve,1.0,1,8.3e-05,0.15937,
gpt54_mini,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_full,Sarah Chalke,38,6,44,1,0,think,0.0,0,9e-06,0.0,1.0
gpt4o_mini,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_base,"Nairobi, Kenya",254,4,258,1,2,retrieve,1.0,1,4e-05,0.17996,
gpt4o_mini,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_noise,"Nairobi, Kenya",254,4,258,1,2,retrieve,1.0,1,4e-05,0.17996,
gpt4o_mini,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_full,Dar es Salaam.,49,4,53,1,0,think,0.0,0,1e-05,0.0,1.0
gpt54_mini,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_base,"Nairobi, Kenya",253,7,260,1,2,retrieve,1.0,1,4.2e-05,0.17971,
gpt54_mini,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_noise,"Nairobi, Kenya",253,7,260,1,2,retrieve,1.0,1,4.2e-05,0.17971,
gpt54_mini,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_full,London,48,10,58,1,0,think,0.0,0,1.3e-05,0.0,1.0
gpt4o_mini,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_base,Cyclic Defrost,205,4,209,1,2,retrieve,1.0,1,3.3e-05,0.18702,
gpt4o_mini,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_noise,Cyclic Defrost,402,4,406,1,4,retrieve,1.0,1,6.3e-05,0.16642,
gpt4o_mini,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_full,Wire Magazine,51,2,53,1,0,think,0.0,0,9e-06,0.0,1.0
gpt54_mini,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_base,Cyclic Defrost,204,7,211,1,2,retrieve,1.0,1,3.5e-05,0.18669,
gpt54_mini,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_noise,Cyclic Defrost,401,7,408,1,4,retrieve,1.0,1,6.4e-05,0.16629,
gpt54_mini,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_full,The Wire,50,5,55,1,0,think,0.0,0,1e-05,0.0,1.0
gpt4o_mini,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_base,729,140,1,141,1,2,retrieve,0.4,0,2.2e-05,0.08071,
gpt4o_mini,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_noise,729,404,1,405,1,4,retrieve,0.4,0,6.1e-05,0.0666,
gpt4o_mini,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_full,Not specified.,44,3,47,1,0,think,0.0,0,8e-06,0.0,1.0
gpt54_mini,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_base,729,139,4,143,1,2,retrieve,0.4,0,2.3e-05,0.08049,
gpt54_mini,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_noise,729,403,4,407,1,4,retrieve,0.4,0,6.3e-05,0.06654,
gpt54_mini,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_full,Unknown,43,10,53,1,0,think,0.0,0,1.2e-05,0.0,1.0
gpt4o_mini,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_base,Francis McPeake,1174,5,1179,1,8,retrieve,1.0,1,0.000179,0.14138,
gpt4o_mini,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_noise,Francis McPeake,775,5,780,1,6,retrieve,1.0,1,0.000119,0.15014,
gpt4o_mini,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_full,The Waterboys.,43,4,47,1,0,think,0.0,0,9e-06,0.0,1.0
gpt54_mini,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_base,Francis McPeake's song,1173,10,1183,1,8,retrieve,0.4,0,0.000182,0.05652,
gpt54_mini,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_noise,Francis McPeake's song,774,10,784,1,6,retrieve,0.4,0,0.000122,0.06001,
gpt54_mini,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_full,The Pogues,42,6,48,1,0,think,0.0,0,1e-05,0.0,1.0
gpt4o_mini,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_base,Slaughterhouse-Five,176,5,181,1,1,retrieve,1.0,1,2.9e-05,0.19216,
gpt4o_mini,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_noise,Little Big Man,480,3,483,1,3,retrieve,0.0,0,7.4e-05,0.0,
gpt4o_mini,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_full,Slaughterhouse-Five,50,5,55,1,0,think,1.0,1,1e-05,0.24843,1.0
gpt54_mini,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_base,Slaughterhouse-Five,175,8,183,1,1,retrieve,1.0,1,3.1e-05,0.19176,
gpt54_mini,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_noise,The Magic Christian,479,6,485,1,3,retrieve,0.0,0,7.5e-05,0.0,
gpt54_mini,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_full,Slaughterhouse-Five,49,8,57,1,0,think,1.0,1,1.2e-05,0.24628,1.0
gpt4o_mini,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_base,String instrument,150,2,152,1,1,retrieve,0.0,0,2.4e-05,0.0,
gpt4o_mini,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_noise,Stringed instrument,404,3,407,1,3,retrieve,0.0,0,6.2e-05,0.0,
gpt4o_mini,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_full,String instrument.,38,3,41,1,0,think,0.0,0,7e-06,0.0,1.0
gpt54_mini,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_base,Sarod,149,5,154,1,1,retrieve,0.0,0,2.5e-05,0.0,
gpt54_mini,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_noise,Sarod,403,5,408,1,3,retrieve,0.0,0,6.3e-05,0.0,
gpt54_mini,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_full,String instrument,37,5,42,1,0,think,0.0,0,9e-06,0.0,1.0
gpt4o_mini,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_base,Ride a Wild Pony,1417,4,1421,1,9,retrieve,1.0,1,0.000215,0.13774,
gpt4o_mini,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_noise,Ride a Wild Pony,1417,4,1421,1,9,retrieve,1.0,1,0.000215,0.13774,
gpt4o_mini,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_full,The Many Adventures of Winnie the Pooh.,48,8,56,1,0,think,0.0,0,1.2e-05,0.0,1.0
gpt54_mini,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_base,Ride a Wild Pony,1416,7,1423,1,9,retrieve,1.0,1,0.000217,0.13772,
gpt54_mini,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_noise,Ride a Wild Pony,1416,7,1423,1,9,retrieve,1.0,1,0.000217,0.13772,
gpt54_mini,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_full,The Many Adventures of Winnie the Pooh,47,10,57,1,0,think,0.0,0,1.3e-05,0.0,1.0
gpt4o_mini,5ac19f405542991316484b5b,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,cart_base,Dog breeds,206,2,208,1,2,retrieve,0.0,0,3.2e-05,0.0,
gpt4o_mini,5ac19f405542991316484b5b,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,cart_noise,Dog breeds,206,2,208,1,2,retrieve,0.0,0,3.2e-05,0.0,
gpt4o_mini,5ac19f405542991316484b5b,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,cart_full,Dog breeds.,40,3,43,1,0,think,0.0,0,8e-06,0.0,1.0
gpt54_mini,5ac19f405542991316484b5b,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,cart_base,Dog breeds,205,5,210,1,2,retrieve,0.0,0,3.4e-05,0.0,
gpt54_mini,5ac19f405542991316484b5b,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,cart_noise,Dog breeds,205,5,210,1,2,retrieve,0.0,0,3.4e-05,0.0,
gpt54_mini,5ac19f405542991316484b5b,Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs,cart_full,Dog breeds,39,5,44,1,0,think,0.0,0,9e-06,0.0,1.0
gpt4o_mini,5ae382ee5542992e3233c430,The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,cart_base,Classical realism,378,3,381,1,3,retrieve,0.3333,0,5.8e-05,0.05607,
gpt4o_mini,5ae382ee5542992e3233c430,The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,cart_noise,Classical realism,905,3,908,1,5,retrieve,0.3333,0,0.000138,0.04893,
