model,qid,question,ground_truth,method,answer,input_tokens,output_tokens,total_tokens,llm_calls,docs_retrieved,routed_to,f1,exact_match,cost_usd,efficiency,lambda_cost
claude_sonnet_4_6,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_noise,"1991's ""The Changing Scottish Landscape""",671,15,686,1,5,retrieve,0.8571,0,0.002238,0.13122,
claude_sonnet_4_6,5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,cart_full,Nikolaus Pevsner,48,10,58,1,0,think,0.0,0,0.000294,0.0,1.0
claude_sonnet_4_6,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_base,**Submarine escape training tank**,233,10,243,1,2,retrieve,0.25,0,0.000849,0.04548,
claude_sonnet_4_6,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_noise,"""Home of the Submarine Force""",443,11,454,1,4,retrieve,1.0,1,0.001494,0.16339,
claude_sonnet_4_6,5ae361605542994393b9e69b,The facility where Robert Croft worked as a navy instructor was also known as?,"""Home of the Submarine Force""",cart_full,"""Home of the Submarine Force""",443,11,454,1,4,retrieve,1.0,1,0.001494,0.16339,1.0
claude_sonnet_4_6,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_base,U2,177,5,182,1,1,retrieve,1.0,1,0.000606,0.19196,
claude_sonnet_4_6,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_noise,U2,444,5,449,1,3,retrieve,1.0,1,0.001407,0.16369,
claude_sonnet_4_6,5ac3a76e554299741d48a2be,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,cart_full,U2,47,5,52,1,0,think,1.0,1,0.000216,0.25187,1.0
claude_sonnet_4_6,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_base,**Laurie Metcalf**,143,12,155,1,1,retrieve,1.0,1,0.000609,0.19803,
claude_sonnet_4_6,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_noise,Laurie Metcalf,609,10,619,1,3,retrieve,1.0,1,0.001977,0.15553,
claude_sonnet_4_6,5a7557d75542992d0ec05f68,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,cart_full,Laurie Metcalf,41,10,51,1,0,think,1.0,1,0.000273,0.25308,1.0
claude_sonnet_4_6,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_base,"Nairobi, Kenya.",282,10,292,1,2,retrieve,1.0,1,0.000996,0.17605,
claude_sonnet_4_6,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_noise,"Nairobi, Kenya.",282,10,292,1,2,retrieve,1.0,1,0.000996,0.17605,
claude_sonnet_4_6,5a8d12ca5542994ba4e3dbe2,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya",cart_full,Johannesburg,50,6,56,1,0,think,0.0,0,0.00024,0.0,1.0
claude_sonnet_4_6,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_base,Cyclic Defrost,230,9,239,1,2,retrieve,1.0,1,0.000825,0.18246,
claude_sonnet_4_6,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_noise,Cyclic Defrost,450,9,459,1,4,retrieve,1.0,1,0.001485,0.1631,
claude_sonnet_4_6,5ab7f6d35542993667794070,"What is the name of the Australian specialist electronic music magazine that features avant-rock, experimental sound art, and experimental hip hop?",Cyclic Defrost,cart_full,Cyclic Defrost,450,9,459,1,4,retrieve,1.0,1,0.001485,0.1631,1.0
claude_sonnet_4_6,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_base,729,147,5,152,1,2,retrieve,0.4,0,0.000516,0.07952,
claude_sonnet_4_6,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_noise,729,430,5,435,1,4,retrieve,0.4,0,0.001365,0.06581,
claude_sonnet_4_6,5ac3d9135542995c82c4ac4c,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,cart_full,729,430,5,435,1,4,retrieve,0.4,0,0.001365,0.06581,1.0
claude_sonnet_4_6,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_base,Francis McPeake,1293,8,1301,1,8,retrieve,1.0,1,0.003999,0.13944,
claude_sonnet_4_6,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_noise,Francis McPeake,866,8,874,1,6,retrieve,1.0,1,0.002718,0.14762,
claude_sonnet_4_6,5ae129115542990adbacf722,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,Francis McPeake,cart_full,The Pogues / Luke Kelly,44,10,54,1,0,think,0.0,0,0.000282,0.0,1.0
claude_sonnet_4_6,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_base,**Slaughterhouse-Five**,195,12,207,1,1,retrieve,1.0,1,0.000765,0.18735,
claude_sonnet_4_6,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_noise,**Slaughterhouse-Five**,526,12,538,1,3,retrieve,1.0,1,0.001758,0.15899,
claude_sonnet_4_6,5a86769c5542994775f60776,Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five,cart_full,Slaughterhouse-Five,53,10,63,1,0,think,1.0,1,0.000309,0.24045,1.0
claude_sonnet_4_6,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_base,Sarod,176,6,182,1,1,retrieve,0.0,0,0.000618,0.0,
claude_sonnet_4_6,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_noise,Stringed instrument.,457,8,465,1,3,retrieve,0.0,0,0.001491,0.0,
claude_sonnet_4_6,5ab31864554299233954ff06,What class of instrument does Apatim Majumdar play?,strings,cart_full,Percussion/tabla (drums),40,10,50,1,0,think,0.0,0,0.00027,0.0,1.0
claude_sonnet_4_6,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_base,Ride a Wild Pony (1975).,1678,14,1692,1,9,retrieve,0.8571,0,0.005244,0.1153,
claude_sonnet_4_6,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_noise,Ride a Wild Pony (1975).,1678,14,1692,1,9,retrieve,0.8571,0,0.005244,0.1153,
claude_sonnet_4_6,5a7b1023554299042af8f6c2," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,cart_full,Ride a Wild Pony (1975).,1678,14,1692,1,9,retrieve,0.8571,0,0.005244,0.1153,1.0
