question_id,method,answer_pred,answer_gt,em,f1,precision,recall,input_tokens,output_tokens,cost_usd,k_star
5abc030e554299642a094bdc,adaptive_k,1945 to 1951,1945 to 1951,1.0,1.0,1.0,1.0,945,9,0.00019620000000000003,5
5a7bb7f2554299042af8f7b6,adaptive_k,gweilo,Gweilo,1.0,1.0,1.0,1.0,244,6,5.360000000000001e-05,2
5a8b3de95542997f31a41cc3,adaptive_k,1993,Tian Tan Buddha,0.0,0.0,0.0,0.0,337,5,7.140000000000001e-05,3
5ab3bfd3554299233954ff99,adaptive_k,Dirk Nowitzki,Dirk Werner Nowitzki,0.0,0.8,1.0,0.6666666666666666,355,8,7.740000000000001e-05,1
5ab9b7d555429970cfb8eb7a,adaptive_k,Henry Lau,Henry Lau,1.0,1.0,1.0,1.0,585,5,0.000121,5
5ab6bf6d55429953192ad372,adaptive_k,no,no,1.0,1.0,1.0,1.0,167,4,3.66e-05,1
5ae7cb9b5542994a481bbde2,adaptive_k,William Pitt Leleiohoku II,Kalokuokamaile,0.0,0.0,0.0,0.0,209,17,5.5400000000000005e-05,1
5ab1d6545542997061209588,adaptive_k,12,Bocelli became completely blind at the age of 12,0.0,0.2222222222222222,1.0,0.125,413,4,8.58e-05,5
5addcb215542997dc7907033,adaptive_k,Naomi Campbell,Naomi Elaine Campbell,0.0,0.8,1.0,0.6666666666666666,467,6,9.82e-05,1
5ae528ed5542993aec5ec16e,adaptive_k,Revengers Tragedy,Revengers Tragedy,1.0,1.0,1.0,1.0,666,8,0.0001396,5
5a8c7ced5542995e66a4761c,adaptive_k,film industry,entertainment,0.0,0.0,0.0,0.0,188,5,4.16e-05,1
5a72f74a55429901807daf59,adaptive_k,Rob Reiner,Rosie O'Donnell,0.0,0.0,0.0,0.0,224,12,5.440000000000001e-05,1
5ae1d4e8554299234fd04312,adaptive_k,Rob Sitch,"Robert Ian ""Rob"" Sitch",0.0,0.6666666666666666,1.0,0.5,184,6,4.160000000000001e-05,1
5a80aeef5542992097ad301a,adaptive_k,The Shins,The Shins,1.0,1.0,1.0,1.0,319,6,6.86e-05,2
5a7f66f155429969796c1a33,adaptive_k,"Denmark, Norway, Sweden",Denmark–Norway–Sweden,0.0,0.0,0.0,0.0,1148,9,0.00023680000000000004,7
5abbda84554299642a094b5b,adaptive_k,Mach 2,2,0.0,0.6666666666666666,0.5,1.0,255,6,5.58e-05,1
5abe3dc65542993f32c2a0c4,adaptive_k,KULR,8,0.0,0.0,0.0,0.0,225,6,4.9800000000000004e-05,1
5ae489ab5542995ad6573d62,adaptive_k,Mookie Blaylock,Mookie Blaylock,1.0,1.0,1.0,1.0,345,8,7.54e-05,1
5a7e1b7155429965cec5ea6c,adaptive_k,Chrysler,Fiat Chrysler Automobiles N.V.,0.0,0.4,1.0,0.25,197,6,4.420000000000001e-05,1
5a8fae205542997ba9cb32ec,adaptive_k,Open Heart,American-Canadian mystery-drama,0.0,0.0,0.0,0.0,190,5,4.2000000000000004e-05,1
5ae588cb55429960a22e0300,adaptive_k,Chaerophyllum,Chaerophyllum,1.0,1.0,1.0,1.0,325,7,7.06e-05,3
5a75e62f5542992d0ec06013,adaptive_k,Tropicana Casino & Resort Atlantic City,Tropicana Casino & Resort,0.0,0.7499999999999999,0.6,1.0,1230,11,0.0002548,9
5ac113e2554299294b21909a,adaptive_k,Frank Wildhorn,"Wildhorn, Bricusse and Cuden",0.0,0.3333333333333333,0.5,0.25,198,6,4.44e-05,1
5a82fe5055429966c78a6ad3,adaptive_k,Christian,evangelical Christian,0.0,0.6666666666666666,1.0,0.5,730,4,0.0001492,5
5a7e05ba5542995f4f402392,adaptive_k,The Late Late Show,The Late Late Show,1.0,1.0,1.0,1.0,343,7,7.420000000000001e-05,2
5a7264ed5542990c210a411a,adaptive_k,Blood and soil,Blood and soil,1.0,1.0,1.0,1.0,405,6,8.58e-05,2
5a8ed10b5542995085b374a0,adaptive_k,The Visit,The Visit,1.0,1.0,1.0,1.0,668,5,0.00013759999999999998,5
5add8f055542990dbb2f7e6d,adaptive_k,Kurt Gerstein and Rudolf Höss,Rudolf Höss,0.0,0.5714285714285715,0.4,1.0,875,11,0.0001838,5
5a86ab7755429960ec39b6bf,adaptive_k,Treasure Island,an adventure novel,0.0,0.0,0.0,0.0,278,6,6.0400000000000004e-05,2
5a7a112a5542990783324e2b,adaptive_k,drummers,drummer,0.0,0.0,0.0,0.0,650,5,0.00013399999999999998,5
5ab870ee5542990e739ec8f6,adaptive_k,Madeleine L'Engle,Madeleine L'Engle,1.0,1.0,1.0,1.0,162,9,3.96e-05,1
5a8810485542997e5c09a590,adaptive_k,over 1.6 million,1.6 million passengers,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,887,9,0.00018460000000000001,5
5a8208ee5542990a1d231f1e,adaptive_k,a large green dinosaur,dinosaur,0.0,0.5,0.3333333333333333,1.0,488,7,0.00010320000000000001,4
5a86399e5542994775f60733,adaptive_k,"Norwegian
",Punjabi/Pashtun,0.0,0.0,0.0,0.0,249,6,5.4600000000000006e-05,1
5a78e9a2554299148911f995,adaptive_k,Drillers Stadium,Drillers Stadium,1.0,1.0,1.0,1.0,1512,6,0.00030720000000000004,7
5a84995d5542997b5ce3fee4,adaptive_k,Alachua County,Alachua,0.0,0.6666666666666666,0.5,1.0,203,13,5.1000000000000006e-05,1
5ab941c2554299743d22ea88,adaptive_k,C. J. Cherryh,"Carolyn Janice Cherry (born September 1, 1942), better known by the pen name C. J. Cherryh,",0.0,0.33333333333333337,1.0,0.2,408,9,8.88e-05,2
5a8e5f1f5542995a26add4d6,adaptive_k,Sapsali,Sapsali,1.0,1.0,1.0,1.0,305,6,6.58e-05,2
5abf1ad15542997ec76fd3c2,adaptive_k,Marquis de Lafayette,Marquis de Lafayette,1.0,1.0,1.0,1.0,249,7,5.5400000000000005e-05,1
5ae5cf625542996de7b71a22,adaptive_k,University of Texas Longhorns football team,University of Texas Longhorns,0.0,0.8,0.6666666666666666,1.0,196,11,4.8e-05,1
5a7c8ae855429935c91b5207,adaptive_k,Alexander Borodin,Alexander Porfiryevich Borodin,0.0,0.8,1.0,0.6666666666666666,326,6,7e-05,2
5a87106555429960ec39b71f,adaptive_k,Rob Reiner,Rob Reiner,1.0,1.0,1.0,1.0,315,6,6.78e-05,2
5a7f296f55429934daa2fd10,adaptive_k,1974,1974,1.0,1.0,1.0,1.0,181,5,4.020000000000001e-05,1
5ae14b5c55429920d52343aa,adaptive_k,Chris Weidman,Anderson Silva,0.0,0.0,0.0,0.0,324,7,7.04e-05,1
5a88b3b4554299206df2b336,adaptive_k,opera,music,0.0,0.0,0.0,0.0,267,4,5.660000000000001e-05,2
5add67705542992ae4cec54f,adaptive_k,Rafael Dos Anjos,Rafael Souza dos Anjos,0.0,0.8571428571428571,1.0,0.75,386,8,8.360000000000001e-05,1
5a875fee5542996e4f3087ab,adaptive_k,Lysiloma,Lysiloma,1.0,1.0,1.0,1.0,237,7,5.300000000000001e-05,2
5ab2b630554299545a2cfa17,adaptive_k,yes,yes,1.0,1.0,1.0,1.0,382,4,7.96e-05,2
5a851ba95542997175ce1f81,adaptive_k,Dallas,Dallas,1.0,1.0,1.0,1.0,715,4,0.0001462,5
5ae1d0e8554299234fd0430a,adaptive_k,Guthred,Guthred or Guthfrith,0.0,0.5,1.0,0.3333333333333333,1323,6,0.00026940000000000004,7
5ae1ebf95542997283cd22f2,adaptive_k,Interstate 22,Interstate 22,1.0,1.0,1.0,1.0,862,7,0.00017800000000000002,5
5a81d0515542990a1d231ed4,adaptive_k,Flamingo Las Vegas,"Las Vegas Strip in Paradise, Nevada",0.0,0.4444444444444444,0.6666666666666666,0.3333333333333333,175,8,4.14e-05,1
5ae35e8c5542990afbd1e120,adaptive_k,Jeff Meldrum,"Don Jeffrey ""Jeff"" Meldrum (born May 24, 1958) is a Professor of Anatomy and Anthropology",0.0,0.25,1.0,0.14285714285714285,241,6,5.300000000000001e-05,1
5a87ed5b5542994846c1cdfc,adaptive_k,GNU GPLv3,GNU GPLv3,1.0,1.0,1.0,1.0,1242,7,0.000254,9
5abc41315542993a06baf8bb,adaptive_k,Julie Taymor,Julie Taymor,1.0,1.0,1.0,1.0,187,6,4.22e-05,1
5a7be1ab5542997c3ec972a9,adaptive_k,Fortean subjects,Fortean,0.0,0.6666666666666666,0.5,1.0,675,7,0.0001406,4
5a840e395542992ef85e239d,adaptive_k,no,no,1.0,1.0,1.0,1.0,450,4,9.32e-05,2
5ae8167b55429952e35eaa06,adaptive_k,Battle of the Rosebud,Battle of the Rosebud,1.0,1.0,1.0,1.0,294,8,6.520000000000001e-05,1
5a776a805542993735360269,adaptive_k,The Giant of Thunder Mountain,Double Agent,0.0,0.0,0.0,0.0,195,8,4.54e-05,1
5ab4b9f75542990594ba9ca4,adaptive_k,People!,People! and The Carnabeats,0.0,0.5,1.0,0.3333333333333333,164,5,3.680000000000001e-05,1
5a78e3b955429974737f78f1,adaptive_k,Sherwood Stewart,Sherwood Stewart,1.0,1.0,1.0,1.0,348,6,7.44e-05,5
5a851b0d5542997175ce1f7f,adaptive_k,yes,yes,1.0,1.0,1.0,1.0,572,4,0.0001176,5
5a78b5f7554299148911f95b,adaptive_k,Todd McFarlane,Todd McFarlane,1.0,1.0,1.0,1.0,666,8,0.0001396,4
5ab4304a55429942dd415ec5,adaptive_k,Argentina,South America,0.0,0.0,0.0,0.0,167,10,4.14e-05,1
5a72dcb45542992359bc31af,adaptive_k,Forever Living Products,Aloe Vera of America,0.0,0.0,0.0,0.0,663,6,0.0001374,5
5a7e0ed25542991319bc9424,adaptive_k,"November 1, 2000","November 1, 2000",1.0,1.0,1.0,1.0,569,10,0.00012180000000000002,4
5ab9e477554299232ef4a25d,adaptive_k,Woolworth Building,Woolworth Building,1.0,1.0,1.0,1.0,673,7,0.0001402,5
5ab900045542991b5579f0c0,adaptive_k,New York City,"Midtown Manhattan in New York City,",0.0,0.6666666666666666,1.0,0.5,311,6,6.7e-05,1
5ab6e848554299710c8d1faa,adaptive_k,1968,"August 19, 1968",0.0,0.5,1.0,0.3333333333333333,386,5,8.120000000000001e-05,2
5a7dc2495542997cc2c4749a,adaptive_k,South Asian Games,1984 South Asian Games,0.0,0.8571428571428571,1.0,0.75,299,6,6.46e-05,1
5a84e9d35542994c784dda84,adaptive_k,England,the Switzerland national team,0.0,0.0,0.0,0.0,250,4,5.3200000000000006e-05,1
5a7cfea2554299452d57babe,adaptive_k,Werner Herzog Eats His Shoe,Werner Herzog Eats His Shoe,1.0,1.0,1.0,1.0,223,9,5.18e-05,1
5ae497f15542995ad6573db8,adaptive_k,Sport & Leisure Swifts F.C.,Distillery,0.0,0.0,0.0,0.0,620,11,0.0001328,5
5ae2133e554299495565d9e3,adaptive_k,Kristine Leahy,Kristine Leahy,1.0,1.0,1.0,1.0,1219,7,0.0002494,9
5abfe1115542997d64295909,adaptive_k,paranormal phenomena,Native American,0.0,0.0,0.0,0.0,302,7,6.6e-05,2
5a8ce55f554299441c6b9f62,adaptive_k,Tulsa,Tulsa,1.0,1.0,1.0,1.0,436,5,9.120000000000001e-05,2
5a7c47c35542990527d55481,adaptive_k,House of Fraser,Army & Navy Stores,0.0,0.0,0.0,0.0,894,6,0.00018360000000000002,5
5ab4107a554299753aec5a2f,adaptive_k,1961,1961,1.0,1.0,1.0,1.0,212,11,5.120000000000001e-05,1
5a774e415542994aec3b7280,adaptive_k,Kait Parker,Kait Parker,1.0,1.0,1.0,1.0,574,12,0.00012440000000000002,5
5abdf06355429976d4830a2d,adaptive_k,heart against the feather of truth,against the feather of truth,0.0,0.888888888888889,0.8,1.0,1542,9,0.00031560000000000003,9
5a8ac4dd5542992d82986f76,adaptive_k,Barnoldswick,Barnoldswick,1.0,1.0,1.0,1.0,758,6,0.0001564,5
5a8f503c5542992414482a34,adaptive_k,English,English,1.0,1.0,1.0,1.0,950,4,0.0001932,9
5a8ec55f5542995a26add50c,adaptive_k,noanswer,4145 ft,0.0,0.0,0.0,0.0,1089,5,0.0002218,9
5ae1338d55429901ffe4ade1,adaptive_k,the green fairy,the green fairy,1.0,1.0,1.0,1.0,193,12,4.8200000000000006e-05,1
5a7bea3d5542996dd594b847,adaptive_k,Sean Maguire,Sean Maguire,1.0,1.0,1.0,1.0,240,12,5.7600000000000004e-05,1
5a7f567e5542992097ad2f22,adaptive_k,2001,2001,1.0,1.0,1.0,1.0,649,5,0.0001338,3
5ac26ac15542992f1f2b38bc,adaptive_k,Hustle & Flow,Sam Phillips,0.0,0.0,0.0,0.0,585,8,0.0001234,4
5adbcc085542996e6852523c,adaptive_k,"poi, Kalua pig, poke, lomi salmon, opihi, haupia and beer","poi, Kalua pig, poke, lomi salmon, opihi, haupia",0.0,0.888888888888889,0.8,1.0,430,22,0.0001036,2
5ae531695542990ba0bbb1fb,adaptive_k,1945,1945,1.0,1.0,1.0,1.0,664,5,0.0001368,5
5ac2cb09554299657fa29066,adaptive_k,Texas Longhorns,Texas Longhorns men's basketball team,0.0,0.5714285714285715,1.0,0.4,246,7,5.4800000000000004e-05,1
5a82817555429954d2e2eb5a,adaptive_k,Naked Killer,"""Naked Killer""",1.0,1.0,1.0,1.0,788,6,0.00016240000000000004,6
5ae34b275542992e3233c371,adaptive_k,Drama Desk Award for Outstanding Lighting Design,Outstanding Lighting Design,0.0,0.6,0.42857142857142855,1.0,373,10,8.260000000000002e-05,3
5a74f5155542993748c89750,adaptive_k,Colomac Mine,The Colomac Mine,1.0,1.0,1.0,1.0,475,6,9.98e-05,2
5add0f635542994ed6169c56,adaptive_k,yes,yes,1.0,1.0,1.0,1.0,570,4,0.0001172,5
5ab4428c5542990594ba9bda,adaptive_k,yes,yes,1.0,1.0,1.0,1.0,348,4,7.280000000000001e-05,2
5a721a7655429971e9dc9271,adaptive_k,Christopher Rich,Christopher Rich,1.0,1.0,1.0,1.0,1582,5,0.00032040000000000004,9
5ae532365542992663a4f150,adaptive_k,2015,2015,1.0,1.0,1.0,1.0,381,5,8.020000000000001e-05,2
5a72f1cf5542994cef4bc414,adaptive_k,Gary Oldman,Gary Oldman,1.0,1.0,1.0,1.0,231,6,5.1000000000000006e-05,1
5a749e1855429979e28829c3,adaptive_k,Emilio Sánchez,Emilio Ángel Sánchez Vicario,0.0,0.6666666666666666,1.0,0.5,269,6,5.860000000000001e-05,2
5a8b051255429971feec460e,adaptive_k,Pat McCarran,U.S. Senator Pat McCarran,0.0,0.6666666666666666,1.0,0.5,274,7,6.0400000000000004e-05,1
5a7616755542992d0ec06028,adaptive_k,Gulfport,"Gulfport, Biloxi",0.0,0.6666666666666666,1.0,0.5,168,12,4.3200000000000007e-05,1
5ac0fd56554299012d1db679,adaptive_k,noanswer,Missouri,0.0,0.0,0.0,0.0,312,5,6.640000000000001e-05,1
5adde73f5542992200553b94,adaptive_k,both are Spider-Man,comic,0.0,0.0,0.0,0.0,213,7,4.82e-05,1
5ab506a05542990594ba9cd6,adaptive_k,Scaevola,Sonerila,0.0,0.0,0.0,0.0,190,7,4.36e-05,2
5a7f57a45542992097ad2f29,adaptive_k,Venstre,"Liberal ""Venstre"" party",0.0,0.5,1.0,0.3333333333333333,205,5,4.5e-05,1
5a8dee2455429917b4a5bce1,adaptive_k,Milk,Pineapple Express,0.0,0.0,0.0,0.0,882,4,0.0001796,5
5a7cd7f055429909bec7683e,adaptive_k,Juilliard School,Juilliard School,1.0,1.0,1.0,1.0,846,7,0.00017480000000000002,5
5a7cb8bc554299452d57b9be,adaptive_k,"27,000","27,000",1.0,1.0,1.0,1.0,185,6,4.18e-05,1
5ab9547755429970cfb8ea6c,adaptive_k,89,87,0.0,0.0,0.0,0.0,176,4,3.8400000000000005e-05,1
5a8cfa2e554299585d9e378b,adaptive_k,noanswer,professional footballer,0.0,0.0,0.0,0.0,557,11,0.00012020000000000001,5
5ab67bd355429954757d32f2,adaptive_k,New York Giants,New York Giants,1.0,1.0,1.0,1.0,491,6,0.000103,2
5abecdf45542997719eab5d4,adaptive_k,Polk County,Polk,0.0,0.6666666666666666,0.5,1.0,249,6,5.4600000000000006e-05,1
5a7e37095542995ed0d166d5,adaptive_k,Robert Z. Leonard,Sinclair Hill,0.0,0.0,0.0,0.0,224,7,5.0400000000000005e-05,2
5a8f18d555429918e830d189,adaptive_k,Caistor,Caistor is a town,0.0,0.5,1.0,0.3333333333333333,602,5,0.0001244,5
5a7b85ac5542997c3ec971ef,adaptive_k,Mr. Holmes,Robot Overlords,0.0,0.0,0.0,0.0,171,6,3.9000000000000006e-05,1
5ae617285542996de7b71b4c,adaptive_k,Canadian,South African-born,0.0,0.0,0.0,0.0,206,10,4.92e-05,1
5ae7247b5542992ae0d163c1,adaptive_k,"September 3, 2017","November 10, 2017",0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,249,10,5.78e-05,1
5ae0ae4555429945ae959419,adaptive_k,mermaid,A mermaid,1.0,1.0,1.0,1.0,316,5,6.720000000000001e-05,2
5ae306115542992decbdcdc4,adaptive_k,Spam,Hormel Foods Corporation,0.0,0.0,0.0,0.0,1105,4,0.0002242,8
5ade4fcc5542997c77adeded,adaptive_k,Pim Fortuyn,"Wilhelmus Simon Petrus Fortuijn, known as Pim Fortuyn",0.0,0.4,1.0,0.25,251,8,5.66e-05,1
5abdd08d5542991f6610604c,adaptive_k,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,1.0,1.0,1.0,1.0,1043,12,0.00021820000000000002,8
5a72abb95542992359bc3162,adaptive_k,Smith!,Smith!,1.0,1.0,1.0,1.0,1301,5,0.00026419999999999997,9
5a7f54665542992097ad2f1a,adaptive_k,Inn and Salzach,Bow River and the Elbow River,0.0,0.25,0.3333333333333333,0.2,1160,7,0.0002376,9
5ae0bc185542993d6555ec29,adaptive_k,Rachel True,Ben Savage,0.0,0.0,0.0,0.0,185,5,4.1e-05,1
5a864d9e5542994775f6073d,adaptive_k,no,no,1.0,1.0,1.0,1.0,198,4,4.2800000000000004e-05,2
5ae5b25d5542990ba0bbb2bb,adaptive_k,Christopher Guest,Christopher Haden-Guest,0.0,0.5,0.5,0.5,367,5,7.740000000000001e-05,2
5ae5e62455429929b0807a07,adaptive_k,Italian,Italian,1.0,1.0,1.0,1.0,199,4,4.300000000000001e-05,1
5ae0120155429925eb1afbfb,adaptive_k,"My Boss, My Hero","My Boss, My Hero",1.0,1.0,1.0,1.0,570,8,0.00012040000000000001,6
5abe87cb5542993f32c2a156,adaptive_k,National Lottery,state-franchised,0.0,0.0,0.0,0.0,397,5,8.340000000000001e-05,4
5ae2b770554299495565db0f,adaptive_k,March and April,March and April,1.0,1.0,1.0,1.0,177,6,4.02e-05,1
5a7af2a455429931da12c998,adaptive_k,West Palm Beach,Miami,0.0,0.0,0.0,0.0,813,6,0.00016740000000000003,5
5a7af23a55429931da12c994,adaptive_k,The Suite Life of Zack & Cody,The Suite Life of Zack & Cody,1.0,1.0,1.0,1.0,479,10,0.00010380000000000002,3
5ab8634e5542990e739ec8de,adaptive_k,John C. Bogle,The Vanguard Group,0.0,0.0,0.0,0.0,224,8,5.1200000000000004e-05,1
5a8836445542997e5c09a5a5,adaptive_k,private,public,0.0,0.0,0.0,0.0,364,4,7.599999999999999e-05,1
5ae127c9554299422ee99612,adaptive_k,Nelson County,Nelson County,1.0,1.0,1.0,1.0,164,6,3.7600000000000006e-05,1
5ac194db55429964131be23a,adaptive_k,Lutheranism,Protestantism,0.0,0.0,0.0,0.0,191,7,4.38e-05,1
5ab8eabb5542991b5579f03d,adaptive_k,The Home Depot,Chrysler,0.0,0.0,0.0,0.0,200,6,4.4800000000000005e-05,1
5ab234c65542993be8fa98c6,adaptive_k,Luca Guadagnino,Luca Guadagnino,1.0,1.0,1.0,1.0,295,8,6.54e-05,1
5ae524415542992663a4f121,adaptive_k,Helsinki,"Helsinki, Finland",0.0,0.6666666666666666,1.0,0.5,952,6,0.0001952,5
5a7e42df5542994959419954,adaptive_k,Ghana,Ghanaian national team,0.0,0.0,0.0,0.0,290,5,6.2e-05,1
5abffc0d5542990832d3a1e2,adaptive_k,nuclear weapons,nuclear weapons,1.0,1.0,1.0,1.0,837,12,0.000177,5
